,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,sr2,buzz2,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
conklin4000tet,77.15,Tyler Conklin,4000,MIN,JAX,,,3.03,4.5,1.5,0.43,0.8,0.5,1.5,2.6,-14,0.35,0,0,0,0,0.73,-0.1,19,30.8,20.3,1,-10.5,51,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,1.55,0.05,25,0,0.25,40,10,-0.2,0,1.96,0.05,17,0,0.29,17,TE,1420,,,0,0,0,0,0,0,2,2,5.4,0,3.3,0,0,0.02,0,0.011,0,0,0,0,0,0,0,0,0,0,conklin,tyler conklin,t,conklin4000tet,,,TE,,,,,,,,,,,,,,,,,
conley4700wrc,75.45,Chris Conley,4700,JAX,@MIN,,,5.73,8.3,3.2,1.09,1.2,0.5,0.2,4.64,-18,0.46,0,0,1,0,0.1,1.4,37,20.3,30.8,0.5,10.5,51,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.47,0.2,0,0,0,5.6,100,0.84,0.12,75,0.5,0,40,6.5,0.7,-400,1.33,0.18,73,0.46,0.2,15,WR,1420,,,0,0,0,0,4,2,34,21,13,0.3,6.5,0.182,0,0.138,0.182,0.145,0,0,0,0,0,0,0,0,0,0,conley,chris conley,c,conley4700wrc,,,WR,,,,,,,,,,,,,,,,,
cook10500rbd,86.95,Dalvin Cook,10500,MIN,JAX,,,21.48,27.7,15.3,1.58,2,23,20.9,19.9,1,0.87,0.9,8.2,14,0,0.49,-0.1,42,30.8,20.3,1,-10.5,51,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,101,5,1.2,0.524,3.2,1.73,1.2,0,0,0,20.5,1200,0.73,0.43,50,0.25,0.5,40,16.9,3.1,1800,0.71,0.4,55,0.35,0.4,20,RB,1420,90%,8.2,0.824,0.667,0.651,20,3,2,23,15,8.4,0.1,5.9,0.234,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0,cook,dalvin cook,d,cook10500rbd,,,RB,,,,,,,,,,,,,,,,,
cook5500tej,36.1,Jared Cook,5500,NO,@ATL,,,3.47,5.2,1.8,-2.64,0.6,0.5,10.3,6.11,-11,0.42,0.5,0.6,4,0,0.22,1.5,29,24.3,21.8,-1,-2.5,46,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.27,0.07,0,0,0,1.6,-400,0.78,0.07,0,0,0.5,40,9.6,0.7,-400,2.73,0.33,68,0.21,0.15,19,TE,1420,,,0,0,0,0,3,2,37,22,16.1,0.6,22.1,0.364,0,0.107,0.29,0.146,0,0,0,0,0,0,0,0,0,0,cook,jared cook,j,cook5500tej,,,TE,,,,,,,,,,,,,,,,,
cooks6500wrb,95.65,Brandin Cooks,6500,HOU,IND,,,12.4,17.2,7.6,3.65,1.9,28,9,8.75,-11,0.58,0.98,10,2,0,0.75,0.2,49,23.3,26.8,-2,3.5,50,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,0.2,0,0,0,11.1,400,1.64,0.2,100,0.25,0,40,10,2.3,800,1.51,0.2,80,0.33,0.13,15,WR,1420,,,0,0,0,0,6,4,56,21,13.4,0.3,5.1,0.222,0,0.192,0.121,0.191,0,0,0,0,0,0,0,0,0,0,cooks,brandin cooks,b,cooks6500wrb,,,WR,,,,,,,,,,,,,,,,,
cousins7300qbk,94.45,Kirk Cousins,7300,MIN,JAX,,,19,32.5,5.5,3.21,2.6,3,22.4,15.79,6,0.97,0.94,8.9,1,0,0.97,4.7,63,30.8,20.3,1,-10.5,51,56,19,29,238,68,8.2,7.27,1.9,41,20.2,54.7,20.4,6.6,3.1,6.1,1,4,6,4.3,0,0.476,3.33,2,0.87,0,0,0,21.4,200,0.6,0.32,100,1,0,50,15,-0.4,100,0.46,0.24,80,0.5,0.2,20,QB,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cousins,kirk cousins,k,cousins7300qbk,,,QB,,,,,,,,,,,,,,,,,
coutee4800wrk,93.95,Keke Coutee,4800,HOU,IND,,,8.64,11.8,5.5,3.77,1.8,14.5,18.1,4.87,-29,0.31,0.92,7.8,2,0,0.58,0.2,32,23.3,26.8,-2,3.5,50,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.13,0,0,0,0,6.4,300,1.81,0.2,50,0.25,0,40,1.9,-0.8,100,0.48,0.06,15,0.1,0.42,19,WR,1420,,,0,0,0,0,4,2,22,10,9.4,0.2,5.4,0.25,0,0.116,0.125,0.078,0,0,0,0,0,0,0,0,0,0,coutee,keke coutee,k,coutee4800wrk,,,WR,,,,,,,,,,,,,,,,,
crowder6200wrj,83.95,Jamison Crowder,6200,NYJ,LV,,,9.81,13.5,6.1,1.75,1.6,3,19.2,8.06,-3,0.75,1,0.4,3,0,0.67,0.8,52,20.3,27.8,0,7.5,48,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4,0.2,38,0.55,0.02,5.4,-100,1.63,0.13,33,0,0.33,30,13.2,3.8,200,1.58,0.25,56,0.37,0.12,16,WR,1420,,,0,0,0,0,8,5,63,29,12.5,0.5,6.6,0.417,0,0.265,0.462,0.295,0,0,0,0,0,0,0,0,0,0,crowder,jamison crowder,j,crowder6200wrj,,,WR,,,,,,,,,,,,,,,,,
darnold6500qbs,76.8,Sam Darnold,6500,NYJ,LV,,,15.26,24.8,5.8,1.04,2.3,0.5,21.04,14.22,-5,0.39,1,0.3,1,0,0.67,3.4,62,20.3,27.8,0,7.5,48,39,18,31,192,58,6.1,4.36,0.8,34,16.1,68.4,10.6,2.6,3.2,7.5,2,8,14,5.2,0.1,0.581,2.73,0.93,0.4,38,0.55,0.02,6.8,-100,0.21,0.12,33,0,0,30,12.2,-2.4,-300,0.33,0.2,68,0.12,0.06,16,QB,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,darnold,sam darnold,s,darnold6500qbs,,,QB,,,,,,,,,,,,,,,,,
davis6100wrc,92.2,Corey Davis,6100,TEN,CLE,,,10.7,14.9,6.5,2.86,1.8,3,29.7,7.84,4,0.91,0.94,3.8,4,0,0.71,1,49,29,25,1,-4,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.19,0.06,51,0.7,0.01,10.2,100,2.14,0.22,80,0.2,0,50,9.3,2.7,1100,1.58,0.19,83,0.27,0.05,18,WR,1420,,,0,0,0,0,5,4,61,23,14.7,0.2,9.2,0.5,0,0.208,0.115,0.243,0,0,0,0,0,0,0,0,0,0,davis,corey davis,c,davis6100wrc,,,WR,,,,,,,,,,,,,,,,,
detroit3500,42.17,Detroit,3500,DET,@CHI,,,6.3,13.2,-0.6,2.23,1.8,3,5,4.07,-2,0.57,0,0,1,0,0.71,2.9,0,20.5,23.5,0.2,3,44,48,0,0,0,0,0,0,0,0,0,0,0,0,1.66,3.69,0,0,0,0,0,0,0,0,0,36,0.77,0.09,3.5,300,0,0,75,0.25,0.25,40,2.9,-1.5,-200,0,0,73,0.2,0.26,15,DEF,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5387,0.5184,0.009,0.0499,7.84,11.2,5.54,3.55,0.2083,detroit,detroit,d,detroit3500,,,D,,,,,,,,,,,,,,,,,
dissly4500tew,81.05,Will Dissly,4500,SEA,NYG,,,4.65,6.6,2.7,0.88,1,0.5,4.8,3.77,-7,0.54,1,0.6,2,0,0.86,1.7,32,29.8,18.8,1.8,-11,48.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.09,0.09,51,0.79,0.09,2.1,-100,2.05,0.06,80,0,0,50,2.8,-1,-400,1.81,0.09,91,0.08,0,12,TE,1420,,,0,0,0,0,1,1,14,13,11.6,0.1,0,0.333,0,0.045,0.032,0.051,0,0,0,0,0,0,0,0,0,0,dissly,will dissly,w,dissly4500tew,,,TE,,,,,,,,,,,,,,,,,
doyle4900tej,49.3,Jack Doyle,4900,IND,@HOU,,,2.12,3.3,1,-2.58,0.4,0.5,1.7,4.7,-23,0.14,0,0,1,0,0.01,0.8,40,26.8,23.3,-1,-3.5,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.2,0.07,0,0,0,7.1,0,4.25,0.24,20,0.2,0,50,4.6,-1.2,-400,1.62,0.12,23,0.17,0.35,17,TE,1420,,,0,0,0,0,2,1,14,9,10.9,0.2,3.6,0.3,0,0.084,0.188,0.058,0,0,0,0,0,0,0,0,0,0,doyle,jack doyle,j,doyle4900tej,,,TE,,,,,,,,,,,,,,,,,
drake6600rbk,76.15,Kenyan Drake,6600,ARI,LA,,,10.45,13.8,7.1,0.28,1.6,3,12.8,10.17,-5,0.65,0.92,2.4,5,0,0.54,-2.3,45,23.3,25.8,-0.5,2.5,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,79,4.7,1,0.582,3.8,2.33,1.33,0,0,0,15.1,600,0.77,0.41,80,0.6,0,50,15.8,5.6,0,0.82,0.35,81,0.5,0.06,16,RB,1420,92%,2.4,0.583,0.519,0.651,16,2,1,11,7,6.6,0,7.3,0.226,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,drake,kenyan drake,k,drake6600rbk,,,RB,,,,,,,,,,,,,,,,,
edmonds5500rbc,75.65,Chase Edmonds,5500,ARI,LA,,,7.86,10.4,5.4,0.43,1.4,0.5,5.3,7.43,-3,0.72,0,0,3,0,0.7,-2.3,30,23.3,25.8,-0.5,2.5,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,4.9,0.1,0.542,1.2,0.27,0.2,0,0,0,10.3,-1200,0.74,0.25,83,0.16,0.16,60,7.9,1.1,500,0.84,0.26,58,0.29,0.41,17,RB,1420, ,,0.053,0.19,0.428,5,3,3,23,11,7.8,0.2,0,0,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,edmonds,chase edmonds,c,edmonds5500rbc,,,RB,,,,,,,,,,,,,,,,,
edwards4700wrb,53.35,Bryan Edwards,4700,LV,@NYJ,,,2.9,4.3,1.5,-1.74,0.6,0.5,0,4.64,-34,0.26,0,0,0,0,0.1,3.2,24,27.8,20.3,0,-7.5,48,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.09,38,0.55,0.02,1.6,100,1.25,0.13,50,0,0.25,40,2.9,-0.7,200,1.82,0.12,45,0,0.09,11,WR,1420,,,0,0,0,0,1,1,18,13,16.4,0,0,0,0,0.053,0,0.081,0,0,0,0,0,0,0,0,0,0,edwards,bryan edwards,b,edwards4700wrb,52276-69276:Bryan Edwards,52276-69276,WR,,b,Bryan Edwards,edwards,2.442857197,7,4700,IND@LV,LV,IND,,,,ryland,ryland,bryan,edwards4700wrb
eifert4700tet,76.65,Tyler Eifert,4700,JAX,@MIN,,,4.49,6.4,2.5,0.25,1,0.5,7.5,4.24,-8,0.51,0.8,1.4,2,0,0.29,1.8,36,20.3,30.8,0.5,10.5,51,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.13,0.07,0,0,0,5.7,200,1.26,0.16,100,0.5,0,40,5.6,1.3,100,1.31,0.16,87,0.31,0,16,TE,1420,,,0,0,0,0,4,2,27,14,11.1,0.2,11.3,0.222,0,0.117,0.143,0.109,0,0,0,0,0,0,0,0,0,0,eifert,tyler eifert,t,eifert4700tet,52276-33557:Tyler Eifert,52276-33557,TE,,t,Tyler Eifert,eifert,4.241666794,12,4700,TEN@JAC,JAC,TEN,,,,ryland,ryland,tyler,eifert4700tet
ekeler7000rba,95.1,Austin Ekeler,7000,LAC,NE,,,15.3,19.8,10.8,4.13,2.2,35.5,8.8,11.17,-3,0.72,1,8.4,10,0,0.97,1.3,39,24.8,22.3,-0.5,-2.5,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,52,5.2,0.1,0.462,0.93,0.33,0.07,0,0,0,18.4,500,0.61,0.31,25,0.25,0,40,15,2.1,-700,0.88,0.38,46,0.33,0.13,15,RB,1420,100%,8.4,0.111,0.488,0.56,10,6,5,56,23,9.9,0.1,11.2,0.111,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,ekeler,austin ekeler,a,ekeler7000rba,,,RB,,,,,,,,,,,,,,,,,
engram6000tee,76.2,Evan Engram,6000,NYG,@SEA,,,7.25,10,4.5,-0.02,1.2,3,5.2,7.27,1,0.91,0.67,2.8,5,0,0.89,1.7,56,18.8,29.8,0.8,11,48.5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.2,0.13,51,0.79,0.09,9.9,500,1.35,0.16,66,0.66,0.33,30,6.3,0.6,-300,0.85,0.11,60,0.13,0.26,15,TE,1420,,,0,0,0,0,6,4,43,19,10.8,0.1,0,0.1,0,0.213,0.125,0.2,0,0,0,0,0,0,0,0,0,0,engram,evan engram,e,engram6000tee,,,TE,,,,,,,,,,,,,,,,,
ertz5700tez,64.65,Zach Ertz,5700,PHI,@GB,,,5.27,7.5,3,-1.3,0.9,0.5,4.1,6.57,-6,0.58,1,0.3,4,0,0.22,-0.4,64,21,29,1.7,8,50,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.47,0.33,32,0.67,0,0,-300,0,0,0,0,0,30,9.5,10,-1000,1.15,0.15,61,0.16,0.11,18,TE,1420,,,0,0,0,0,8,4,39,15,8.5,0.4,5.9,0.364,0,0.207,0.286,0.154,0,0,0,0,0,0,0,0,0,0,ertz,zach ertz,z,ertz5700tez,,,TE,,,,,,,,,,,,,,,,,
everett4800teg,83.95,Gerald Everett,4800,LA,@ARI,,,5.57,8.1,3.1,1.1,1.2,0.5,7.4,4.47,-2,0.75,0,0,2,0,0.35,-1.7,30,25.8,23.3,1,-2.5,49,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.13,0.13,0,0,0,3.7,300,1.1,0.1,100,0,0,30,3.9,0.6,200,1.29,0.13,60,0.13,0.26,15,TE,1420,,,0,0,0,0,2,2,22,12,10.6,0.1,0,0.333,0,0.081,0.048,0.081,0,0,0,0,0,0,0,0,0,0,everett,gerald everett,g,everett4800teg,,,TE,,,,,,,,,,,,,,,,,
fells4800ted,63.85,Darren Fells,4800,HOU,IND,,,3.27,4.8,1.8,-1.2,0.7,0.5,0,4.47,-13,0.37,1,0.3,2,0,0.08,-0.2,39,23.3,26.8,-2,3.5,50,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.13,0.07,0,0,0,3.2,-400,2.11,0.11,50,0,0.25,40,5.7,0.8,300,2.33,0.14,65,0.25,0.15,20,TE,1420,,,0,0,0,0,2,1,21,13,12.2,0.2,3.5,0.5,0,0.075,0.111,0.078,0,0,0,0,0,0,0,0,0,0,fells,darren fells,d,fells4800ted,52276-38301:Darren Fells,52276-38301,TE,,d,Darren Fells,fells,5.5,10,4800,HOU@CHI,HOU,CHI,,,,ryland,ryland,darren,fells4800ted
firkser4600tea,92.05,Anthony Firkser,4600,TEN,CLE,,,6.47,9,3.9,2.47,1.4,18.5,7.6,4,-10,0.45,1,3.6,4,0,0.08,0.7,21,29,25,1,-4,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.13,51,0.7,0.01,2.7,-300,0.71,0.11,40,0,0.4,50,4.4,0.1,400,1.38,0.21,50,0.22,0.38,18,TE,1420,,,0,0,0,0,3,2,22,12,10.4,0.1,10.8,0.125,0,0.109,0.03,0.087,0,0,0,0,0,0,0,0,0,0,firkser,anthony firkser,a,firkser4600tea,,,TE,,,,,,,,,,,,,,,,,
fulgham6300wrt,56.5,Travis Fulgham,6300,PHI,@GB,,,6.5,9.4,3.6,-1.79,1,0.5,0,8.29,-10,0.6,0,0,1,0,0.67,0.5,45,21,29,1.7,8,50,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.12,0.06,32,0.67,0,1.7,-500,0.37,0.03,0,0,1,30,7.9,-0.1,1700,1.43,0.18,27,0.27,0.33,18,WR,1420,,,0,0,0,0,5,3,42,17,14.2,0.4,0,0.333,0,0.163,0.267,0.198,0,0,0,0,0,0,0,0,0,0,fulgham,travis fulgham,t,fulgham6300wrt,,,WR,,,,,,,,,,,,,,,,,
gage5200wrr,78.75,Russell Gage,5200,ATL,NO,,,7.18,10.1,4.3,1.4,1.4,0.5,13.1,5.78,-5,0.7,0,0,1,0,0.82,0.9,45,21.8,24.3,-0.5,2.5,46,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0.33,0.2,0,0,0,5.4,-200,0.71,0.1,66,0,0.33,30,6.8,0.5,400,0.87,0.15,73,0.2,0.26,15,WR,1420,,,0,0,0,0,6,4,42,15,9.9,0.1,5.5,0.053,0,0.171,0.043,0.144,0,0,0,0,0,0,0,0,0,0,gage,russell gage,r,gage5200wrr,,,WR,,,,,,,,,,,,,,,,,
gallman6100rbw,84.65,Wayne Gallman,6100,NYG,@SEA,,,10.6,14,7.2,1.68,1.7,3,13.5,8.92,-1,0.8,1,1.3,4,0,0.87,1,24,18.8,29.8,0.8,11,48.5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,4,0.6,0.559,1.4,0.73,0.67,51,0.79,0.09,16.4,600,0.76,0.37,100,1,0,30,6.8,2.1,1600,0.59,0.28,53,0.33,0.33,15,RB,1420,100%,1.3,0.667,0.323,0.373,9,2,1,7,7,4.5,0,0,0.375,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,gallman,wayne gallman,w,gallman6100rbw,,,RB,,,,,,,,,,,,,,,,,
gaskin5500rbm,95.75,Myles Gaskin,5500,MIA,CIN,,,12.96,17.1,8.8,5.53,2.4,18.5,13.1,7.43,-5,0.65,0.83,2.9,7,0,0.99,-1.4,38,26.8,16.3,0,-10.5,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,49,3.8,0.3,0.55,2.47,1.13,0.53,81,0.67,0.02,0,-400,0,0,0,0,0,40,9.5,2.1,900,0.55,0.25,68,0.56,0.06,16,RB,1420,83%,2.9,0.375,0.478,0.575,12,4,3,23,11,6.9,0,4.6,0.103,0.552,0,0,0,0,0,0,0,0,0,0,0,0,0,gaskin,myles gaskin,m,gaskin5500rbm,,,RB,,,,,,,,,,,,,,,,,
gesicki5700tem,81.3,Mike Gesicki,5700,MIA,CIN,,,7.14,9.8,4.4,0.57,1.3,3,19.3,6.57,2,0.94,0.88,3.9,6,0,0.73,3.2,42,26.8,16.3,0,-10.5,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.67,0.13,81,0.67,0.02,6.9,400,1.45,0.17,100,0.25,0,40,8.6,2.3,300,1.55,0.2,75,0.31,0.18,16,TE,1420,,,0,0,0,0,5,3,41,21,13.7,0.4,4.7,0.294,0,0.161,0.24,0.163,0,0,0,0,0,0,0,0,0,0,gesicki,mike gesicki,m,gesicki5700tem,52276-56265:Mike Gesicki,52276-56265,TE,,m,Mike Gesicki,gesicki,8.099999746,12,5700,KC@MIA,MIA,KC,,,,ryland,ryland,mike,gesicki5700tem
glennon6800qbm,74,Mike Glennon,6800,JAX,@MIN,,,15.34,25.8,4.9,0.54,2.3,0.5,14.1,14.8,-3,0.52,1,2.4,1,0,0.22,-0.2,65,20.3,30.8,0.5,10.5,51,44,20,35,235,57,6.7,7.86,2,46,17.1,51.4,25.7,5.7,0,0,2,4,6,3,0,0.5,0.33,0.2,0.07,0,0,0,18,300,0.49,0.28,25,0.25,0,40,3.6,0.3,800,0.1,0.06,6,0.06,0.26,15,QB,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glennon,mike glennon,m,glennon6800qbm,,,QB,,,,,,,,,,,,,,,,,
goedert6200ted,83.6,Dallas Goedert,6200,PHI,@GB,,,8.48,11.6,5.4,0.74,1.4,10.5,9.1,7.74,-2,0.75,0.95,5,7,0,0.17,-0.4,58,21,29,1.7,8,50,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.27,0.13,32,0.67,0,12.8,400,1.75,0.19,100,0.66,0,30,9.7,2.2,1000,1.42,0.17,66,0.22,0.11,18,TE,1420,,,0,0,0,0,6,4,53,21,11.6,0.4,7.5,0.375,0,0.172,0.25,0.216,0,0,0,0,0,0,0,0,0,0,goedert,dallas goedert,d,goedert6200ted,,,TE,,,,,,,,,,,,,,,,,
goff7200qbj,92.85,Jared Goff,7200,LA,@ARI,,,18.6,29.2,8,3.01,2.6,6.5,24.14,15.59,-7,0.27,0.83,4.7,1,0,0.74,2.4,70,25.8,23.3,1,-2.5,49,54,25,38,282,66,7.4,6.8,1.7,35,11.6,61.5,22.6,4.5,2.4,3.1,3,4,5,1.7,0.1,0.413,5.2,2.47,1.4,0,0,0,13.5,-200,0.3,0.2,66,0.33,0.33,30,18,1.6,-200,0.42,0.26,93,0.56,0.06,16,QB,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,goff,jared goff,j,goff7200qbj,,,QB,,,,,,,,,,,,,,,,,
gore5300rbf,92.45,Frank Gore,5300,NYJ,LV,,,10.77,14.3,7.3,3.84,2,0.5,0.2,6.93,9,0.97,1,1.5,2,0,0.54,-0.7,22,20.3,27.8,0,7.5,48,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,3.5,0.1,0.447,1.87,0.6,0.2,38,0.55,0.02,10.4,300,0.6,0.35,100,0.66,0,30,4.9,-1.6,500,0.41,0.22,64,0.11,0.35,17,RB,1420,100%,1.5,0.167,0.386,0.364,10,1,1,5,3,5.4,0,10,0.04,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,gore,frank gore,f,gore5300rbf,,,RB,,,,,,,,,,,,,,,,,
graham5400tej,79,Jimmy Graham,5400,CHI,DET,,,6.26,8.5,4,0.39,1.2,0.5,0,5.87,1,0.91,1,0.3,6,0,0.22,2.1,41,23.5,20.5,-1.3,-3,44,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0.6,0.27,36,0.77,0.09,9.6,100,2.4,0.28,66,0.33,0,30,6.7,10,400,1.28,0.16,68,0.21,0.26,19,TE,1420,,,0,0,0,0,5,3,29,14,9.5,0.3,8.2,0.313,0,0.134,0.217,0.124,0,0,0,0,0,0,0,0,0,0,graham,jimmy graham,j,graham5400tej,,,TE,,,,,,,,,,,,,,,,,
grant4800wrj,77.3,Jakeem Grant,4800,MIA,CIN,,,6.15,8.6,3.7,1.28,1.3,0.5,5.2,4.87,-17,0.48,1,0.2,0,0,0.58,4,25,26.8,16.3,0,-10.5,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.13,0.07,81,0.67,0.02,5.7,200,1.2,0.15,100,0.25,0,40,4.4,0.2,300,1.2,0.18,60,0.2,0.2,15,WR,1420,,,0,0,0,0,3,2,23,14,9.8,0.1,0,0.333,0,0.107,0.056,0.102,0,0,0,0,0,0,0,0,0,0,grant,jakeem grant,j,grant4800wrj,,,WR,,,,,,,,,,,,,,,,,
green bay4100,62.11,Green Bay,4100,GB,PHI,,,7.4,14.7,0.1,1.4,1.8,14.5,13,6,0,0.72,0,0,4,0,0.98,1.9,0,29,21,0.7,-8,50,61,0,0,0,0,0,0,0,0,0,0,0,0,2.36,6.68,0,0,0,0,0,0,0,0,0,32,0.67,0,8.3,-700,0,0,100,0.33,0,30,60,-1.1,200,0,0,80,0.33,0.14,21,DEF,1420,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.4892,0.5082,0.0137,0.0433,6.83,8.87,50,2.83,0.218,bay,green bay,g,green bay4100,,,D,,,,,,,,,,,,,,,,,
green5200wra,64.25,AJ Green,5200,CIN,@MIA,,,5.56,8,3.2,-0.22,1.1,0.5,0,5.78,-20,0.43,0,0,2,0,0,0.4,51,16.3,26.8,0.5,10.5,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.27,0.2,81,0.67,0.02,12.1,-400,2.13,0.25,33,0.33,0,30,4.9,0.2,-1000,0.68,0.1,33,0.2,0.46,15,WR,1420,,,0,0,0,0,7,3,32,10,10.2,0.1,0,0.2,0,0.186,0.071,0.124,0,0,0,0,0,0,0,0,0,0,green,aj green,a,green5200wra,,,WR,,,,,,,,,,,,,,,,,
gurley6600rbt,63.65,Todd Gurley,6600,ATL,NO,,,8.6,12.2,5,-1.57,1.3,3,2.5,10.17,-8,0.56,0,0.5,3,0,0.36,-4.3,45,21.8,24.3,-0.5,2.5,46,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,58,3.5,0.9,0.445,4.13,1.87,1.2,0,0,0,8,-300,0.51,0.24,33,0.33,0.33,30,14.4,2.8,-500,0.74,0.32,81,0.5,0.12,16,RB,1420,0%,0.5,0.765,0.598,0.625,16,2,1,11,6,6.2,0.1,5.5,0.197,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,gurley,todd gurley,t,gurley6600rbt,,,RB,,,,,,,,,,,,,,,,,
